"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:10 GMT 2024","3","","test_project","","","","test_main_buttons_active_membership_states[Has a frozen membership]",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","1","tests","test_membership_class","","","","test_cannot_unfreeze_before_freeze",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_same_day_freeze_and_unfreeze_do_not_count[multiple-day freeze]",""
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:10 GMT 2024","40","tests","test_handlers","","","","test_process_membership",""
"passed","Fri May 10 17:44:30 GMT 2024","Fri May 10 17:44:40 GMT 2024","10015","tests","test_handlers","","","","test_poll_for_check_in_request",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_can_unfreeze_earlier_or_later_than_planned[later than planned]",""
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:10 GMT 2024","0","","test_project","","","","test_main_buttons_with_and_without_active_membership[Has active membership]",""
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:10 GMT 2024","0","","test_project","","","","test_main_buttons_active_membership_states[Has a frozen and unfrozen membership]",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_cannot_subtract_from_expired_membership",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","8","tests","test_handlers","","","","test_locale_handler",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_same_day_freeze_and_unfreeze_do_not_count[one-day freeze]",""
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:10 GMT 2024","0","","test_project","","","","test_main_buttons_with_and_without_active_membership[Has no active membership]",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","2","tests","test_handlers","","","","test_start_handler",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_can_refreeze_after_same_day_freeze_and_unfreeze",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_can_subtract",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","1","tests","test_membership_class","","","","test_cannot_freeze_if_frozen",""
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:10 GMT 2024","0","","test_project","","","","test_main_buttons_not_registered",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_cannot_unfreeze_to_make_freeze_period_invalid",""
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:20 GMT 2024","10017","tests","test_handlers","","","","test_poll_for_mb_add_request",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_cannot_freeze_for_over_max_duration",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_cannot_subtract_from_used_up_membership",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","1","tests","test_membership_class","","","","test_cannot_unfreeze_if_not_frozen",""
"passed","Fri May 10 17:44:20 GMT 2024","Fri May 10 17:44:30 GMT 2024","10016","tests","test_handlers","","","","test_poll_for_mb_freeze_request",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","1","tests","test_membership_class","","","","test_membership_cannot_freeze_two_times",""
"passed","Fri May 10 17:44:10 GMT 2024","Fri May 10 17:44:10 GMT 2024","0","","test_project","","","","test_main_buttons_registered",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","1","tests","test_membership_class","","","","test_membership_freezing_and_unfreezing_delays_expiry",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_cannot_freeze_if_inactive",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_can_unfreeze_earlier_or_later_than_planned[earlier than planned]",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_cannot_make_negative_freeze_duration_with_unfreeze",""
"passed","Fri May 10 17:44:40 GMT 2024","Fri May 10 17:44:40 GMT 2024","0","tests","test_membership_class","","","","test_membership_cannot_freeze_before_activation",""
